Saison,Journée,Equipe 1,Equipe 2,Lieu,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 selon Lieu,Moyenne_BM par 2 selon Lieu,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 selon Lieu,Moyenne_BE par 2 selon Lieu,Forme 1,Forme 2,Historique
2002-2003,9,Bordeaux,Bastia,Extérieur,1,2,-1,3,15,1.0,1.0,1.25,1.5,0.5,1.375,0.5,1.0,0.0,-2.0,0
2002-2003,10,Bordeaux,Sedan Ardennes,Domicile,2,2,0,7,16,1.0,1.1111111111111112,0.75,0.75,0.6666666666666666,1.5555555555555556,0.5,2.75,0.0,1.0,0
2002-2003,11,Bordeaux,Sochaux,Extérieur,0,2,-1,10,6,1.1,1.2,1.2,2.0,0.8,0.9,0.8,1.0,0.0,1.0,0
2002-2003,12,Bordeaux,Monaco,Domicile,2,2,0,10,7,1.0,1.4545454545454546,1.0,1.6666666666666667,0.9090909090909091,0.9090909090909091,0.8,1.0,-2.0,2.0,0
2002-2003,13,Bordeaux,Nantes,Extérieur,0,0,0,11,16,1.0833333333333333,0.9166666666666666,1.0,1.0,1.0,1.3333333333333333,1.0,1.2,-1.0,-3.0,0
2002-2003,14,Bordeaux,Rennais,Domicile,2,0,1,11,19,1.0,0.6923076923076923,1.1666666666666667,0.7142857142857143,0.9230769230769231,1.3846153846153846,1.0,1.7142857142857142,-2.0,-2.0,0
2002-2003,15,Bordeaux,Lyon,Extérieur,2,4,-1,10,2,1.0714285714285714,1.9285714285714286,0.8571428571428571,2.8333333333333335,0.8571428571428571,1.1428571428571428,0.8571428571428571,1.1666666666666667,0.0,4.0,0
2002-2003,16,Bordeaux,Ajaccio,Domicile,1,0,1,11,14,1.1333333333333333,0.8,1.2857142857142858,1.125,1.0666666666666667,1.0666666666666667,0.8571428571428571,1.5,-1.0,-1.0,0
2002-2003,17,Bordeaux,Auxerre,Extérieur,0,1,-1,11,4,1.125,1.1875,1.0,1.4285714285714286,1.0,1.0,1.25,0.7142857142857143,1.0,-1.0,0
2002-2003,18,Bordeaux,Le Havre,Extérieur,0,1,-1,12,17,1.0588235294117647,0.7647058823529411,0.8888888888888888,0.625,1.0,1.2941176470588236,1.2222222222222223,1.25,0.0,-1.0,0
