Saison,Journée,Equipe 1,Equipe 2,Equipe 1 à Domicile,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 à Domicile,Moyenne_BM par 2 à Domicile,Moyenne_BM par 1 à Extérieur,Moyenne_BM par 2 à Extérieur,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 à Domicile,Moyenne_BE par 2 à Domicile,Moyenne_BE par 1 à Extérieur,Moyenne_BE par 2 à Extérieur,Forme 1,Forme 2,Historique
2002-2003,26,Auxerre,Sedan,0,2,1,1,1,18,1.08,1.08,1.1666666666666667,1.4615384615384615,1.0,0.6666666666666666,0.8,1.64,0.4166666666666667,1.0,1.1538461538461537,2.3333333333333335,2.0,-2.0,1
2002-2003,27,Auxerre,Nantes,1,0,1,-1,1,9,1.1153846153846154,1.1153846153846154,1.1666666666666667,1.4615384615384615,1.0714285714285714,0.7692307692307693,0.8076923076923077,1.0769230769230769,0.4166666666666667,1.0,1.1428571428571428,1.1538461538461537,2.0,2.0,1
2002-2003,28,Auxerre,Monaco,0,1,3,-1,3,2,1.0740740740740742,1.4814814814814814,1.0769230769230769,1.7692307692307692,1.0714285714285714,1.2142857142857142,0.8148148148148148,0.7777777777777778,0.46153846153846156,0.6923076923076923,1.1428571428571428,0.8571428571428571,0.0,3.0,0
2002-2003,29,Auxerre,Lyon,1,1,2,-1,3,4,1.0714285714285714,1.6785714285714286,1.0769230769230769,2.357142857142857,1.0666666666666667,1.0,0.8928571428571429,1.1785714285714286,0.46153846153846156,0.9285714285714286,1.2666666666666666,1.4285714285714286,-1.0,0.0,-1
2002-2003,30,Auxerre,Rennes,0,0,0,0,5,15,1.0689655172413792,0.8275862068965517,1.0714285714285714,1.0,1.0666666666666667,0.6666666666666666,0.9310344827586207,1.1379310344827587,0.5714285714285714,0.7142857142857143,1.2666666666666666,1.5333333333333334,-1.0,-1.0,1
2002-2003,31,Auxerre,Lens,1,0,0,0,6,10,1.0333333333333334,1.1666666666666667,1.0714285714285714,1.6666666666666667,1.0,0.6666666666666666,0.9,0.9,0.5714285714285714,0.9333333333333333,1.1875,0.8666666666666667,-2.0,2.0,-1
2002-2003,32,Auxerre,Ajaccio,1,1,0,1,8,17,1.0,0.7419354838709677,1.0,0.6,1.0,0.875,0.8709677419354839,1.1612903225806452,0.5333333333333333,0.7333333333333333,1.1875,1.5625,-3.0,-2.0,-1
2002-2003,33,Auxerre,Nice,0,0,1,-1,6,9,1.0,1.0625,1.0,1.375,1.0,0.75,0.84375,0.75,0.5,0.4375,1.1875,1.0625,-1.0,0.0,-1
2002-2003,34,Auxerre,Le Havre,1,1,0,1,8,15,0.9696969696969697,0.7272727272727273,1.0,0.8125,0.9411764705882353,0.6470588235294118,0.8484848484848485,1.1818181818181819,0.5,1.0,1.1764705882352942,1.3529411764705883,-1.0,-3.0,1
2002-2003,35,Auxerre,Bordeaux,0,1,0,1,6,4,0.9705882352941176,1.5294117647058822,1.0,1.625,0.9411764705882353,1.4444444444444444,0.8235294117647058,1.0,0.47058823529411764,0.8125,1.1764705882352942,1.1666666666666667,1.0,2.0,1
2002-2003,36,Auxerre,Lille,1,0,0,0,6,15,0.9714285714285714,0.7714285714285715,1.0,1.0,0.9444444444444444,0.5294117647058824,0.8,1.2,0.47058823529411764,1.0555555555555556,1.1111111111111112,1.3529411764705883,2.0,0.0,0
2002-2003,37,Auxerre,Strasbourg,0,2,1,1,6,13,0.9444444444444444,1.0833333333333333,0.9444444444444444,1.2777777777777777,0.9444444444444444,0.8888888888888888,0.7777777777777778,1.4444444444444444,0.4444444444444444,1.1666666666666667,1.1111111111111112,1.7222222222222223,2.0,0.0,0
2002-2003,38,Auxerre,Paris Saint Germain,1,2,0,1,6,9,0.972972972972973,1.2702702702702702,0.9444444444444444,1.631578947368421,1.0,0.8888888888888888,0.7837837837837838,0.918918918918919,0.4444444444444444,0.7368421052631579,1.105263157894737,1.1111111111111112,2.0,-1.0,-1
2002-2003,1,Bastia,Lens,1,1,1,0,,,,,,,,,,,,,,,,,0
2002-2003,2,Bastia,Nantes,0,0,1,-1,10,3,1.0,2.0,1.0,,,2.0,1.0,0.0,1.0,,,0.0,0.0,1.0,0
2002-2003,3,Bastia,Monaco,1,1,0,1,14,8,0.5,2.0,1.0,0.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,0.0,-1.0,0.0,0
2002-2003,4,Bastia,Lyon,0,1,4,-1,11,6,0.6666666666666666,3.3333333333333335,1.0,6.0,0.0,2.0,0.6666666666666666,1.6666666666666667,0.5,1.0,1.0,2.0,0.0,1.0,0
2002-2003,5,Bastia,Rennes,1,3,1,1,15,19,0.75,0.25,1.0,0.5,0.5,0.0,1.5,1.75,0.5,1.5,2.5,2.0,-1.0,-3.0,0
2002-2003,6,Bastia,Auxerre,0,0,1,-1,11,2,1.2,1.2,1.6666666666666667,2.0,0.5,0.6666666666666666,1.4,0.6,0.6666666666666666,0.5,2.5,0.6666666666666666,0.0,2.0,0
2002-2003,7,Bastia,Ajaccio,1,1,2,-1,12,15,1.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,2.0,1.3333333333333333,-1.0,-1.0,0
2002-2003,8,Bastia,Paris Saint Germain,0,1,1,0,15,4,1.0,1.2857142857142858,1.5,1.75,0.3333333333333333,0.6666666666666666,1.4285714285714286,0.7142857142857143,1.0,0.75,2.0,0.6666666666666666,-1.0,1.0,0
2002-2003,9,Bastia,Bordeaux,1,2,1,1,15,3,1.0,1.0,1.5,0.75,0.5,1.25,1.375,0.5,1.0,0.5,1.75,0.5,-2.0,0.0,0
2002-2003,10,Bastia,Nice,0,0,2,-1,12,2,1.1111111111111112,1.5555555555555556,1.6,2.0,0.5,1.0,1.3333333333333333,0.5555555555555556,1.0,0.6,1.75,0.5,0.0,1.0,0
2002-2003,11,Bastia,Le Havre,1,3,1,1,14,17,1.0,0.7,1.6,0.6,0.4,0.8,1.4,1.3,1.0,1.2,1.8,1.4,-2.0,-2.0,0
2002-2003,12,Bastia,Strasbourg,0,0,2,-1,12,9,1.1818181818181819,1.3636363636363635,1.8333333333333333,1.6666666666666667,0.4,1.0,1.3636363636363635,1.7272727272727273,1.0,1.3333333333333333,1.8,2.2,0.0,1.0,0
2002-2003,13,Bastia,Lille,1,1,0,1,13,10,1.0833333333333333,0.9166666666666666,1.8333333333333333,1.1428571428571428,0.3333333333333333,0.6,1.4166666666666667,1.0,1.0,1.1428571428571428,1.8333333333333333,0.8,0.0,3.0,0
2002-2003,14,Bastia,Troyes,0,0,3,-1,13,20,1.0769230769230769,0.6153846153846154,1.7142857142857142,0.7142857142857143,0.3333333333333333,0.5,1.3076923076923077,1.3846153846153846,0.8571428571428571,1.7142857142857142,1.8333333333333333,1.0,1.0,-3.0,0
2002-2003,15,Bastia,Guingamp,1,0,2,-1,14,11,1.0,1.3571428571428572,1.7142857142857142,1.375,0.2857142857142857,1.3333333333333333,1.4285714285714286,1.2857142857142858,0.8571428571428571,1.0,2.0,1.6666666666666667,-1.0,0.0,0
2002-2003,16,Bastia,Montpellier,0,2,2,0,15,17,0.9333333333333333,0.7333333333333333,1.5,0.875,0.2857142857142857,0.5714285714285714,1.4666666666666666,1.2,1.0,0.75,2.0,1.7142857142857142,-1.0,-1.0,0
2002-2003,17,Bastia,Marseille,1,2,0,1,14,3,1.0,1.0625,1.5,1.1111111111111112,0.5,1.0,1.5,0.9375,1.0,0.5555555555555556,2.0,1.4285714285714286,-2.0,1.0,0
2002-2003,18,Bastia,Sedan,1,0,1,-1,14,15,1.0588235294117647,1.1764705882352942,1.5555555555555556,1.5555555555555556,0.5,0.75,1.411764705882353,1.4705882352941178,0.8888888888888888,0.8888888888888888,2.0,2.125,0.0,-1.0,0
2002-2003,19,Bastia,Sochaux,0,0,2,-1,15,8,1.0,1.0,1.4,1.625,0.5,0.5,1.3888888888888888,0.7777777777777778,0.9,0.5,2.0,1.0,-2.0,-1.0,0
2002-2003,20,Bastia,Nantes,1,3,1,1,15,9,0.9473684210526315,1.1578947368421053,1.4,1.5555555555555556,0.4444444444444444,0.8,1.4210526315789473,1.105263157894737,0.9,1.0,2.0,1.2,-2.0,3.0,-1
2002-2003,21,Bastia,Monaco,0,0,0,0,14,4,1.05,1.6,1.5454545454545454,1.8888888888888888,0.4444444444444444,1.3636363636363635,1.4,1.0,0.9090909090909091,0.8888888888888888,2.0,1.0909090909090908,0.0,2.0,1
2002-2003,22,Bastia,Lyon,1,2,0,1,15,2,1.0,1.7619047619047619,1.5454545454545454,2.5,0.4,1.0909090909090908,1.3333333333333333,1.1904761904761905,0.9090909090909091,1.1,1.8,1.2727272727272727,0.0,1.0,-1
2002-2003,23,Bastia,Rennes,0,1,0,1,13,15,1.0454545454545454,0.9545454545454546,1.5833333333333333,1.2,0.4,0.75,1.2727272727272727,1.1363636363636365,0.8333333333333334,0.8,1.8,1.4166666666666667,0.0,3.0,1
2002-2003,24,Bastia,Auxerre,1,2,0,1,13,1,1.0434782608695652,1.0869565217391304,1.5833333333333333,1.0909090909090908,0.45454545454545453,1.0833333333333333,1.2173913043478262,0.782608695652174,0.8333333333333334,0.45454545454545453,1.6363636363636365,1.0833333333333333,2.0,2.0,-1
2002-2003,25,Bastia,Ajaccio,0,1,1,0,11,17,1.0833333333333333,0.7916666666666666,1.6153846153846154,0.6363636363636364,0.45454545454545453,0.9230769230769231,1.1666666666666667,1.1666666666666667,0.7692307692307693,0.7272727272727273,1.6363636363636365,1.5384615384615385,4.0,1.0,-1
2002-2003,26,Bastia,Paris Saint Germain,1,1,0,1,10,8,1.08,1.28,1.6153846153846154,1.6923076923076923,0.5,0.8333333333333334,1.16,0.84,0.7692307692307693,0.5384615384615384,1.5833333333333333,1.1666666666666667,3.0,3.0,0
2002-2003,27,Bastia,Bordeaux,0,2,0,1,10,6,1.0769230769230769,1.4615384615384615,1.5714285714285714,2.0,0.5,1.0,1.1153846153846154,1.0384615384615385,0.7142857142857143,0.8333333333333334,1.5833333333333333,1.2142857142857142,4.0,3.0,1
2002-2003,28,Bastia,Nice,1,1,1,0,9,4,1.1111111111111112,1.1481481481481481,1.5714285714285714,1.5,0.6153846153846154,0.7692307692307693,1.0740740740740742,0.7777777777777778,0.7142857142857143,0.35714285714285715,1.4615384615384615,1.2307692307692308,4.0,-1.0,-1
